tid,year
1332349861774155778,2020-11-27
1332352538855747584,2020-11-27
1332380892682215424,2020-11-27
1332407714304110597,2020-11-27
1332462484582707202,2020-11-27
1332518860944076802,2020-11-28
1332552283553476608,2020-11-28
1332776310196883461,2020-11-28
1332778938121203720,2020-11-28
1333084257858834438,2020-11-29
1333084321863888896,2020-11-29
1333084358446551042,2020-11-29
1333207778643628032,2020-11-30
1333215466022727686,2020-11-30
1333243285389914112,2020-11-30
1333244506871918599,2020-11-30
1333410418119864320,2020-11-30
1333410419554344964,2020-11-30
1333413062120976385,2020-11-30
1333464453778706433,2020-11-30
1333558147512999938,2020-11-30
1333616249444724737,2020-12-01
1333618999255560193,2020-12-01
1333771177005867008,2020-12-01
1333772740483026944,2020-12-01
1333773762374807553,2020-12-01
1333856259662077954,2020-12-01
1333888306178908163,2020-12-01
1333968444866392064,2020-12-02
1333975991518187521,2020-12-02
1333988969785257984,2020-12-02
1334155285909409801,2020-12-02
1334159010308755458,2020-12-02
1334167769575796739,2020-12-02
1334167828035989506,2020-12-02
1334240039639937026,2020-12-02
1334256021020217346,2020-12-02
1334282156349267970,2020-12-02
1334303260279234562,2020-12-03
1334326746615865344,2020-12-03
1334327204847775744,2020-12-03
1334327470972137474,2020-12-03
1334327603340201984,2020-12-03
1334327894844248070,2020-12-03
1334351957113311233,2020-12-03
1334572492476837893,2020-12-03
1334572501565902848,2020-12-03
1334573529107460096,2020-12-03
1334606278388277253,2020-12-03
1334611537688809472,2020-12-03
1334617669316845580,2020-12-03
1334670866051981312,2020-12-04
1334858852337070083,2020-12-04
1334949289160740866,2020-12-04
1334994862299602947,2020-12-04
1335032599283109890,2020-12-05
1335052022530379776,2020-12-05
1335057703568355330,2020-12-05
1335057724485275656,2020-12-05
1335087245037015040,2020-12-05
1335087268516794368,2020-12-05
1335406436247998464,2020-12-06
1335413770139549697,2020-12-06
1335460410267488261,2020-12-06
1335461221911425026,2020-12-06
1335462704006492160,2020-12-06
1335463348893339648,2020-12-06
1335463480435109888,2020-12-06
1335463604594806791,2020-12-06
1335465256798330880,2020-12-06
1335465325069017088,2020-12-06
1335466110037217280,2020-12-06
1335663612954898434,2020-12-06
1335672890407215105,2020-12-06
1335713485020401671,2020-12-06
1335736235239804928,2020-12-07
1335739297459265537,2020-12-07
1335761079750766592,2020-12-07
1335775434546548737,2020-12-07
1335775501739307009,2020-12-07
1335775535717289984,2020-12-07
1335783596922114048,2020-12-07
1335783660507770881,2020-12-07
1335796393399775233,2020-12-07
1335971721262796801,2020-12-07
