tid,year
1343066231222448130,2020-12-27
1343027900740734976,2020-12-27
1342974377218994181,2020-12-26
1342974373632876545,2020-12-26
1342974375008600070,2020-12-26
1342974370822692867,2020-12-26
1342908782934958081,2020-12-26
1342872502306009089,2020-12-26
1342871802159181825,2020-12-26
1342835233306124288,2020-12-26
1342832582606598144,2020-12-26
1342830505163706369,2020-12-26
1342826019745640450,2020-12-26
1342823967019687936,2020-12-26
1342821189077622792,2020-12-26
1342817496924086278,2020-12-26
1342817146347335685,2020-12-26
1342815655784017922,2020-12-26
1342815318918443010,2020-12-26
1342815153784561669,2020-12-26
1342814105896431616,2020-12-26
1342813744943017984,2020-12-26
1342813418177392649,2020-12-26
1342810984130482176,2020-12-26
1342807297408561153,2020-12-26
1342807171130601473,2020-12-26
1342624069687062528,2020-12-26
1342622275900731392,2020-12-26
1342559171649167366,2020-12-25
1342558923656744960,2020-12-25
1342556287872233474,2020-12-25
1342555377951510528,2020-12-25
1342554825465196544,2020-12-25
1342463237841948672,2020-12-25
1342245390540804096,2020-12-24
1342243632833814528,2020-12-24
1342212651447967744,2020-12-24
1342212340436135938,2020-12-24
1342209260026023940,2020-12-24
1342206148649299969,2020-12-24
1342202964904181762,2020-12-24
1342184240088276992,2020-12-24
1342100887137873922,2020-12-24
1342098544547794944,2020-12-24
1341955213872275467,2020-12-24
1341948764068704256,2020-12-24
1341948611131822083,2020-12-24
1341907686913433608,2020-12-24
1341906561682309122,2020-12-24
1341885394124607488,2020-12-23
1341862955604975617,2020-12-23
1341862953637822468,2020-12-23
1341792832093364226,2020-12-23
1341616174073860097,2020-12-23
1341565405509394440,2020-12-23
1341553610996543494,2020-12-23
1341551177146757121,2020-12-23
1341547750710800385,2020-12-23
1341537886315950080,2020-12-23
1341405487057821698,2020-12-22
1341389598296059909,2020-12-22
1341266789943177216,2020-12-22
1341266680828342274,2020-12-22
1341265476282945536,2020-12-22
1341265409635475456,2020-12-22
1341169419259531265,2020-12-21
1341138409092509696,2020-12-21
1341138408274595843,2020-12-21
1341138407460925440,2020-12-21
1341083589853777920,2020-12-21
1341083558606233602,2020-12-21
1341083528533073926,2020-12-21
1341083345107755009,2020-12-21
1341083303777071106,2020-12-21
1341043285368909824,2020-12-21
1341043284542713857,2020-12-21
1340996686257254403,2020-12-21
1340996088443105282,2020-12-21
1340995938937163776,2020-12-21
1340988495603634176,2020-12-21
1340988270243700739,2020-12-21
1340739574264434690,2020-12-20
1340717841964818433,2020-12-20
1340717540000083970,2020-12-20
1340717162315599873,2020-12-20
1340717113380618242,2020-12-20
1340716395286413315,2020-12-20
1340716121671004161,2020-12-20
1340715967182204930,2020-12-20
1340715708632731650,2020-12-20
1340705183911829509,2020-12-20
1340701929085820934,2020-12-20
1340701746985906177,2020-12-20
1340701616010375171,2020-12-20
1340701254817869826,2020-12-20
1340700258712625152,2020-12-20
1340700000892948482,2020-12-20
1340696881651965954,2020-12-20
1340696207560220678,2020-12-20
1340694463442784257,2020-12-20
1340529063799246848,2020-12-20
1340527057151930369,2020-12-20
1340523944680583169,2020-12-20
1340523358551732233,2020-12-20
1340520653653458949,2020-12-20
1340517052705091586,2020-12-20
1340516843791020033,2020-12-20
1340485548524318721,2020-12-20
1340466552420896769,2020-12-20
1340395245679353869,2020-12-19
1340393421069053954,2020-12-19
1340386865799712772,2020-12-19
1340386251866828802,2020-12-19
1340381132467171332,2020-12-19
1340377186847625218,2020-12-19
1340376176695631872,2020-12-19
1340373798617559040,2020-12-19
1340368820079345664,2020-12-19
1340362336390004737,2020-12-19
1340333619299147781,2020-12-19
1340333618691002368,2020-12-19
1340315201288212481,2020-12-19
1340306154031857665,2020-12-19
1340301344037597189,2020-12-19
1340301220632813570,2020-12-19
1340300699754741766,2020-12-19
1340300394640117762,2020-12-19
1340297907153604609,2020-12-19
1340185773220515840,2020-12-19
1340096386113687554,2020-12-19
1339993708146683905,2020-12-18
1339971240157736960,2020-12-18
1339953001847525379,2020-12-18
1339938332223139840,2020-12-18
1339937549209522178,2020-12-18
1339937091707351046,2020-12-18
1339931021052133380,2020-12-18
1339930445308436480,2020-12-18
1339930030340771842,2020-12-18
1339929663804747778,2020-12-18
1339918328484294656,2020-12-18
1339918065543352321,2020-12-18
1339914253596319744,2020-12-18
1339912692736405507,2020-12-18
1339911935106682880,2020-12-18
1339911209890570240,2020-12-18
1339911065203781632,2020-12-18
1339910558288625664,2020-12-18
1339910340537139200,2020-12-18
1339770665168228354,2020-12-18
1339768443042738176,2020-12-18
1339759575109656577,2020-12-18
1339759521946882048,2020-12-18
1339759289234317312,2020-12-18
1339758279526916097,2020-12-18
1339758142381551629,2020-12-18
1339748940380577792,2020-12-18
1339709639584337920,2020-12-17
1339597489926590465,2020-12-17
1339594787133919239,2020-12-17
1339585198816522242,2020-12-17
1339585047481917441,2020-12-17
1339584706736578563,2020-12-17
1339584629603385346,2020-12-17
1339584378154885124,2020-12-17
1339454493751177217,2020-12-17
1339453818996727809,2020-12-17
1339453336316162048,2020-12-17
1339286784790966274,2020-12-16
1339284435456421892,2020-12-16
1339281950490697729,2020-12-16
1339277405458997249,2020-12-16
1339275859841134594,2020-12-16
1339225465584840704,2020-12-16
1339198867275980802,2020-12-16
