url,carbon_date,main_source,sources,age
www.quickpay.lk,2015-06-15 00:00:00,web.archive.org,['web.archive.org'],2716
www.radicalsrilanka.com,2018-08-12 00:00:00,web.archive.org,['web.archive.org'],1562
www.radio.com.lk,2015-11-04 00:00:00,web.archive.org,['web.archive.org'],2574
www.railway.gov.lk,2008-08-29 00:00:00,web.archive.org,['web.archive.org'],5197
www.rainbowpages.lk,2006-08-24 00:00:00,web.archive.org,['web.archive.org'],5933
www.rata.lk,2016-03-03 00:00:00,web.archive.org,['web.archive.org'],2454
www.rda.gov.lk,2002-11-08 00:00:00,web.archive.org,['web.archive.org'],7318
www.redlinetech.lk,2012-08-22 00:00:00,web.archive.org,['web.archive.org'],3743
www.reecha.lk,2019-11-30 00:00:00,web.archive.org,['web.archive.org'],1087
www.regen.lk,2015-09-25 00:00:00,web.archive.org,['web.archive.org'],2614
www.register.lk,error,error,error,error
www.rentitem.lk,2018-04-14 00:00:00,web.archive.org,['web.archive.org'],1682
www.rgd.gov.lk,error,error,error,error
www.rjt.ac.lk,error,error,error,error
www.ruh.ac.lk,2000-04-27 00:00:00,web.archive.org,['web.archive.org'],8243
www.ruhunuhospital.lk,2013-11-28 00:00:00,web.archive.org,['web.archive.org'],3280
www.runews.lk,2019-04-22 00:00:00,web.archive.org,['web.archive.org'],1309
www.saaravita.lk,2016-03-13 00:00:00,web.archive.org,['web.archive.org'],2444
www.sambole.lk,2017-08-11 00:00:00,web.archive.org,['web.archive.org'],1928
www.sampath.lk,1997-12-19 00:00:00,web.archive.org,['web.archive.org'],9103
www.sarigama.lk,2013-05-05 00:00:00,web.archive.org,['web.archive.org'],3487
www.sd.lk,2017-05-31 00:00:00,web.archive.org,['web.archive.org'],2000
www.selanie.lk,2002-10-19 00:00:00,web.archive.org,['web.archive.org'],7338
www.sellx.lk,2018-08-05 00:00:00,web.archive.org,['web.archive.org'],1569
www.sense.lk,2006-01-15 00:00:00,web.archive.org,['web.archive.org'],6154
www.seosrilanka.net,2012-04-26 00:00:00,web.archive.org,['web.archive.org'],3861
www.serenediva.lk,2020-11-12 00:00:00,web.archive.org,['web.archive.org'],739
www.seylan.lk,1997-07-17 00:00:00,web.archive.org,['web.archive.org'],9258
www.seylanbank.lk,2019-05-28 00:00:00,web.archive.org,['web.archive.org'],1273
www.sgs.lk,2012-05-17 00:00:00,web.archive.org,['web.archive.org'],3840
www.shophere.lk,2020-01-23 00:00:00,web.archive.org,['web.archive.org'],1033
www.shopvk.lk,error,error,error,error
www.sigmafeet.lk,2015-08-17 00:00:00,web.archive.org,['web.archive.org'],2653
www.silumina.lk,2001-04-03 00:00:00,web.archive.org,['web.archive.org'],7902
www.singhagiri.lk,2001-10-23 00:00:00,web.archive.org,['web.archive.org'],7699
www.singularitysrilanka.com,2022-04-04 00:00:00,web.archive.org,['web.archive.org'],231
www.sinhalasongs.lk,error,error,error,error
www.siyadesa.lk,error,error,error,error
www.sjp.ac.lk,error,error,error,error
www.skyjobs.lk,error,error,error,error
www.slbc.lk,2022-09-23 00:00:00,last-modified,['last-modified'],59
www.slbcnews.lk,error,error,error,error
www.slbfe.lk,error,error,error,error
www.slembassyusa.org,2019-06-03 00:00:00,last-modified,['last-modified'],1267
www.sliit.lk,2000-10-04 00:00:00,web.archive.org,['web.archive.org'],8083
www.sliitacademy.lk,2020-02-09 00:00:00,web.archive.org,['web.archive.org'],1016
www.sllc.ac.lk,2010-12-16 00:00:00,web.archive.org,['web.archive.org'],4358
www.slmix.lk,2018-05-08 00:00:00,web.archive.org,['web.archive.org'],1658
www.slnc.lk,error,error,error,error
www.slpa.lk,1998-10-21 00:00:00,web.archive.org,['web.archive.org'],8797
www.slpost.gov.lk,error,error,error,error
www.slpost.lk,error,error,error,error
www.slsi.lk,error,error,error,error
www.slt.lk,1997-07-10 00:00:00,web.archive.org,['web.archive.org'],9265
www.sltda.gov.lk,2009-05-23 00:00:00,web.archive.org,['web.archive.org'],4930
www.sltdigital.lk,2022-07-11 00:00:00,web.archive.org,['web.archive.org'],133
www.sltdirectory.lk,2022-03-03 00:00:00,web.archive.org,['web.archive.org'],263
www.sltds.lk,2018-03-16 00:00:00,web.archive.org,['web.archive.org'],1711
www.sltraveler.lk,2014-05-21 00:00:00,web.archive.org,['web.archive.org'],3106
www.slwcs.org,2002-09-02 00:00:00,web.archive.org,['web.archive.org'],7385
www.smartlankaonline.net,error,error,error,error
www.smartwatches.lk,error,error,error,error
www.solex.lk,error,error,error,error
www.songhub.lk,error,error,error,error
www.sooriyanfm.lk,2010-03-04 00:00:00,web.archive.org,['web.archive.org'],4645
www.spar.lk,2018-10-02 00:00:00,web.archive.org,['web.archive.org'],1511
www.sprpta.lk,2010-09-22 00:00:00,web.archive.org,['web.archive.org'],4443
www.srilanka-apparel.com,2013-02-02 00:00:00,archive.md,['archive.md'],3580
www.srilanka-places.com,error,error,error,error
www.srilankabusiness.com,2011-01-26 00:00:00,arquivo.pt,['arquivo.pt'],4318
www.srilankacricket.lk,2010-01-10 00:00:00,web.archive.org.au,['web.archive.org.au'],4699
www.srilankaembassyrome.org,error,error,error,error
www.srilankaequity.forumotion.com,2022-11-22 00:00:00,last-modified,['last-modified'],0
www.srilankaimporter.com,error,error,error,error
www.srilankaleakvideos.blogspot.com,error,error,error,error
www.srilankamirror.com,error,error,error,error
www.srilankan.aero,error,error,error,error
www.srilankan.com,2002-11-13 00:00:00,webarchive.loc.gov,['webarchive.loc.gov'],7314
