memento-datetime,likes
2022-04-21T03:16:32Z,253602
2022-04-21T00:58:48Z,253600
2022-04-20T16:10:15Z,253606
2022-04-20T12:00:23Z,253819
2022-04-20T03:20:19Z,253595
2022-04-19T18:24:57Z,253603
2022-04-19T17:07:36Z,253578
2022-04-19T16:29:59Z,253574
2022-04-19T03:40:55Z,253564
2022-04-18T23:49:38Z,253564
2022-04-18T19:22:10Z,253542
2022-04-18T14:25:40Z,253586
2022-04-17T11:25:53Z,253463
2022-04-17T02:09:42Z,253383
2022-04-16T12:44:15Z,253375
2022-04-16T07:30:03Z,253393
2022-04-16T01:47:39Z,253383
2022-04-15T14:53:08Z,253558
2022-04-15T14:27:24Z,253577
2022-04-14T19:17:01Z,253375
2022-04-14T13:16:29Z,253579
2022-04-13T23:32:24Z,253606
2022-04-13T19:44:46Z,253400
2022-04-13T16:14:16Z,253621
2022-04-12T18:02:18Z,253542
2022-04-12T11:17:06Z,253428
2022-04-12T09:52:06Z,253420
2022-04-12T02:47:11Z,253429
2022-04-11T21:53:54Z,253436
2022-04-11T13:46:37Z,253445
2022-04-11T13:35:58Z,253444
2022-04-11T10:02:50Z,253216
2022-04-11T04:55:33Z,253205
2022-04-10T17:50:05Z,253275
2022-04-10T16:58:45Z,253251
2022-04-10T16:14:01Z,253440
2022-04-10T15:08:28Z,253403
2022-04-09T16:24:06Z,253208
2022-04-08T17:37:01Z,253089
2022-04-08T02:31:51Z,253277
2022-04-06T18:59:46Z,253089
2022-04-06T02:19:34Z,253284
2022-04-06T01:18:09Z,253086
2022-04-05T07:36:39Z,253136
2022-04-05T05:32:48Z,253128
2022-04-04T05:28:50Z,253167
2022-04-03T04:44:27Z,252624
2022-04-03T02:56:45Z,252785
2022-04-02T03:23:39Z,252581
2022-04-01T02:15:44Z,252584
2022-03-31T17:30:06Z,252819
2022-03-31T11:02:52Z,252646
2022-03-31T01:19:54Z,252642
2022-03-30T06:10:25Z,252854
2022-03-30T05:54:29Z,252651
2022-03-30T05:05:28Z,252848
2022-03-30T04:54:12Z,252643
2022-03-30T00:42:32Z,252670
2022-03-29T17:42:46Z,252881
2022-03-29T09:38:04Z,252872
2022-03-29T08:38:57Z,252863
2022-03-29T00:24:55Z,252648
2022-03-28T21:43:57Z,252892
2022-03-27T00:35:13Z,252681
2022-03-26T18:32:32Z,252681
2022-03-26T17:58:40Z,252893
2022-03-26T17:28:26Z,252891
2022-03-25T17:59:24Z,252878
2022-03-25T17:32:13Z,252659
