URIM,Title
https://www.foxnews.com/world/russian-missiles-cross-nato-member-poland-kill-2-senior-us-intelligence-official,"Russian missiles cross into NATO member Poland, kill 2: senior US intelligence official"
https://abcnews.go.com/International/wireStory/senior-us-intelligence-official-russian-missiles-crossed-nato-93346632,"A senior U.S. intelligence official says Russian missiles crossed into NATO member Poland, killing two people"
https://thehill.com/policy/defense/3736711-russian-missiles-reportedly-cross-into-poland-killing-two/,"Russian missiles reportedly cross into Poland, killing two"
