URIM,Title
https://web.archive.org/web/20221115191354/https://www.usatoday.com/story/news/world/2022/11/15/russian-missiles-crossed-into-poland-killing-2-us-official-says/10704659002/,"US official: Russian missiles crossed into Poland, killing 2"
https://web.archive.org/web/20221115202250/https://www.usatoday.com/story/news/world/2022/11/15/russian-missiles-crossed-into-poland-killing-2-us-official-says/10704659002/,"US investigating reports that Russian missiles crossed into Poland, killing 2"
https://web.archive.org/web/20221116215028/https://www.usatoday.com/story/news/world/2022/11/15/russian-missiles-crossed-into-poland-killing-2-us-official-says/10704659002/,"US and NATO investigate blast in Poland that killed 2; Biden says missile unlikely to have been fired from Russia"
