URIM,Title
https://web.archive.org/web/20221115185015/https://www.cnbc.com/2022/11/15/russia-ukraine-live-updates.html,"Central Kyiv hit by Russian missile strikes, causing half of the Ukrainian city to lose power"
https://web.archive.org/web/20221115214449/https://www.cnbc.com/2022/11/15/russia-ukraine-live-updates.html,"U.S. official tells AP Russian missiles crossed into Poland; Half of Kyiv loses power after missile strikes"
https://web.archive.org/web/20221116192216/https://www.cnbc.com/2022/11/15/russia-ukraine-live-updates.html,"Russian-made missile kills 2 in Poland, official says; Half of Kyiv loses power after missile strikes"
