url,urim_total,carbon_date,age,cd_year
buyserandib.lk,1,2011-12-03 0:00:00,4013,2011 
glm.lk,1,2020-11-01 0:00:00,757,2020 
jobpool.lk,1,2022-09-30 0:00:00,59,2022 
protean.com.lk,1,2021-05-11 0:00:00,566,2021 
ps.gov.lk,1,2013-08-18 0:00:00,3389,2013 
welendan.lk,1,2022-10-21 0:00:00,38,2022 
cbsl.gov.lk,2,2007-05-03 0:00:00,5681,2007 
ceyentra.lk,2,2021-04-21 0:00:00,586,2021 
chta.lk,2,2022-05-04 0:00:00,208,2022 
corn.lk,2,2022-03-25 0:00:00,248,2022 
cupertino.lk,2,2022-10-05 0:00:00,54,2022 
dotlinklanka.lk,2,2021-11-30 0:00:00,363,2021 
lolcfinance.lk,2,2021-12-16 0:00:00,347,2021 
newsline.lk,2,2020-08-10 0:00:00,840,2020 
sltdirectory.lk,2,2022-03-03 0:00:00,270,2022 
viswamcampus.edu.lk,2,2021-12-29 0:00:00,334,2021 
carbonnews.lk,3,2009-07-04 0:00:00,4895,2009 
slbcnews.lk,3,2022-11-16 0:00:00,12,2022 
sltdigital.lk,3,2022-07-11 0:00:00,133,2022 
transexpress.lk,3,2021-12-26 0:00:00,337,2021 
tvslankadealerhub.com,3,2020-02-24 0:00:00,1008,2020 
w3campus.lk,3,2021-01-16 0:00:00,681,2021 
xmobile.lk,3,2021-02-24 0:00:00,642,2021 
campusone.lk,4,2015-06-26 0:00:00,2712,2015 
flytolanka.com,4,2022-05-10 0:00:00,202,2022 
lankayurveda.com,4,2015-10-21 0:00:00,2595,2015 
cryptonationacademy.lk,5,2021-05-16 0:00:00,561,2021 
flich.lk,5,2013-08-06 0:00:00,3401,2013 
indeepa.edu.lk,5,2021-09-18 0:00:00,436,2021 
egrn.lk,6,2022-05-02 0:00:00,210,2022 
fds.ac.lk,6,2019-05-23 0:00:00,1285,2019 
seylanbank.lk,6,2019-05-28 0:00:00,1280,2019 
imbs.lk,7,2020-01-29 0:00:00,1034,2020 
atimes.com,8,2018-11-08 0:00:00,1481,2018 
bepost.lk,8,2011-04-27 0:00:00,4233,2011 
dos.lk,8,2019-06-22 0:00:00,1255,2019 
lanka-micro.com,8,2021-12-13 0:00:00,350,2021 
lankacareersandtalents.com,8,2021-10-16 0:00:00,401,2021 
lapcity.lk,8,2022-05-06 0:00:00,206,2022 
australianwellness.lk,9,2011-01-02 0:00:00,4348,2011 
hogwa.lk,9,2018-03-22 0:00:00,1712,2018 
melstahospitalsragama.lk,9,2021-03-23 0:00:00,615,2021 
tyrebass.lk,9,2020-08-04 0:00:00,846,2020 
dpcode.lk,10,2021-12-24 0:00:00,339,2021 
janet.lk,10,2021-06-17 0:00:00,529,2021 
lankaclip.info,10,2021-04-19 0:00:00,581,2021 
lgn2.gov.lk,10,2019-05-13 0:00:00,1295,2019 
onepay.lk,10,2020-10-28 0:00:00,761,2020 
ispot.lk,11,2021-05-19 0:00:00,558,2021 
primetuition.lk,11,2020-05-12 0:00:00,930,2020 
syzygy.lk,12,2021-04-29 0:00:00,577,2021 
dnc.lk,13,2020-09-24 0:00:00,795,2020 
studyabroadguru.lk,13,2021-03-31 0:00:00,607,2021 
lankaaththa.lk,14,2017-09-11 0:00:00,1904,2017 
ninenews.lk,14,2021-10-13 0:00:00,411,2021 
on.lk,14,2010-06-01 0:00:00,4563,2010 
selanie.lk,14,2002-10-19 0:00:00,7345,2002 
ahmadtea.lk,15,2021-01-19 0:00:00,678,2021 
aussie.lk,15,2021-04-16 0:00:00,591,2021 
quickpay.lk,15,2015-06-15 0:00:00,2723,2015 
tamilguru.lk,15,2022-01-29 0:00:00,302,2022 
tryaksh.lk,15,2017-05-06 0:00:00,2032,2017 
agrarianvav.lk,16,2018-12-03 0:00:00,1456,2018 
alphabusiness.lk,16,2019-07-31 0:00:00,1216,2019 
anybanq.lk,16,2021-08-05 0:00:00,480,2021 
colombopost.lk,16,2008-01-01 0:00:00,5445,2008 
kuviyam.lk,16,2021-02-23 0:00:00,643,2021 
oncredit.lk,16,2021-05-09 0:00:00,568,2021 
edukinniya.lk,17,2021-06-23 0:00:00,523,2021 
loanme.lk,17,2021-01-03 0:00:00,694,2021 
asirihardware.lk,18,2021-04-16 0:00:00,591,2021 
dekma.lk,18,2014-02-17 0:00:00,3206,2014 
lucky1.lk,18,2020-01-03 0:00:00,1060,2020 
peoplespay.lk,19,2021-09-03 0:00:00,451,2021 
toko.lk,19,2020-01-13 0:00:00,1050,2020 
reecha.lk,20,2019-11-30 0:00:00,1087,2019 
serenediva.lk,20,2020-11-12 0:00:00,746,2020 
sliitacademy.lk,20,2020-02-09 0:00:00,1023,2020 
edutoys.lk,21,2019-11-19 0:00:00,1105,2019 
trv.lk,21,2018-07-21 0:00:00,1591,2018 
eprice.lk,22,2020-08-05 0:00:00,845,2020 
spar.lk,22,2018-10-02 0:00:00,1518,2018 
wht.lk,22,2012-12-09 0:00:00,3641,2012 
dealhub.lk,23,2013-07-11 0:00:00,3427,2013 
perfuma.lk,23,2018-12-26 0:00:00,1433,2018 
akaza.lk,24,2014-12-31 0:00:00,2889,2014 
myfly.lk,24,2018-07-28 0:00:00,1584,2018 
koombiyodelivery.lk,25,2019-02-15 0:00:00,1382,2019 
lankadatacenter.com,25,2018-08-05 0:00:00,1569,2018 
thegrand.lk,25,2016-07-05 0:00:00,2337,2016 
odiris.lk,26,2019-03-01 0:00:00,1368,2019 
wycherleygampaha.lk,26,2019-09-17 0:00:00,1168,2019 
yesman.lk,26,2019-09-21 0:00:00,1164,2019 
eslims.gov.lk,27,2013-09-14 0:00:00,3362,2013 
mpclg.gov.lk,27,2018-12-26 0:00:00,1433,2018 
bookhunter.lk,28,2003-08-07 0:00:00,7053,2003 
tecroot.lk,28,2020-03-28 0:00:00,975,2020 
cyberdeals.lk,30,2020-01-03 0:00:00,1060,2020 
gossipmachan.lk,31,2018-08-11 0:00:00,1570,2018 
songhub.lk,31,2019-08-30 0:00:00,1186,2019 
headlinenews.lk,32,2019-06-20 0:00:00,1257,2019 
purewax.lk,32,2021-05-04 0:00:00,573,2021 
maza.lk,33,2020-11-01 0:00:00,757,2020 
news19.lk,33,2021-01-19 0:00:00,678,2021 
ubuy.com.lk,33,2020-06-13 0:00:00,898,2020 
ecell.lk,34,2020-12-05 0:00:00,723,2020 
newsi.lk,34,2017-09-05 0:00:00,1910,2017 
tyreshoponline.lk,35,2020-08-05 0:00:00,845,2020 
ipay.lk,36,2018-01-15 0:00:00,1778,2018 
newscutter.lk,36,2021-12-24 0:00:00,339,2021 
rata.lk,36,2022-11-28 0:00:00,0,2022 
architectssrilanka.org,37,2009-11-28 0:00:00,4748,2009 
camerapro.lk,37,2014-12-17 0:00:00,2903,2014 
clubpalmbay.lk,37,2017-07-26 0:00:00,1951,2017 
ict-history.lk,37,2017-02-27 0:00:00,2100,2017 
pmd.gov.lk,38,2016-01-13 0:00:00,2511,2016 
sd.lk,38,2017-05-31 0:00:00,2007,2017 
shophere.lk,38,2020-01-23 0:00:00,1040,2020 
